text,noun_forms
tried again still not responding to calls and msgs ,"[calls, msgs]"
tried again still not responding to call rnr tried again still not responding to call rnr ,[]
not responding to call so msgd him through whtsapp tried again still not responding to calls and msgs tried again still number shows busy so msgd him through whtsapp,"[call, calls, number]"
had a call explained and shared details of investment through whtsapp he said he is not yet decided he said he is not intrested,"[call, details, investment]"
not responding to calls to msgs tried again number shows busy not responding to calls and msgs,"[calls, number, calls, msgs]"
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
lead assigned to ramakrishna katta by anshul ,[lead]
he said he will let me know soon he said he is not intrested,[]
he said he not yet decided anything on the investment he is not responding to calls and msgs tried again he is not responding to calls and msgs,"[anything, investment, calls, calls]"
msgd him through whtsapp he said he already discussing with pradeep,[]
lead assigned to ramakrishna katta by anshul lead assigned to raj hegde by anshul ,"[lead, lead]"
had a call he said he is coming to hyd on sep so than only he can take any action he said,"[call, action]"
he disconnected the call by saying wrong number,"[call, number]"
lead assigned to raj hegde by anshul ,[lead]
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
he said he will meet tomorrow in the office he said he will meet after nimarjaanam he said he will meet tomorrow at afternoon he said he is not getting time to come to the office he said he will update once he get free,"[tomorrow, office, tomorrow, afternoon, time, office]"
tried again still call id not getting connected,"[i, d]"
he said he is in his town so not able to take any decison so asked me to wait,"[town, decison]"
lead assigned to preeti srinivasan by anshul lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead, lead]"
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
he said he will update once he decides not responding to calls and msgs,"[calls, msgs]"
tried again he still not responding to call rnr tried again he still not responding to call rnr ,[]
had a he asked me to share details through whtsapp he is not responding to calls and msgs tried again he is not responding to calls and msgs had a call again and explained he said he want to talk to some our existing customers before he proceed he said he dropped the plan as of now,"[details, calls, calls, call, customers, plan]"
he said he not yet decided anything he is not responding to calls and msgs,"[anything, calls, msgs]"
he said he not yet decided he said he will check and update he said he will update me once he decides he said he is in a meeting he said he will call me sometime ,[meeting]
still not responded to msgs,[]
lead assigned to raj hegde by anshul ,[lead]
he said he is not interested in any investments,[investments]
she said she is not intrested,[]
he said he will only update his call is not getting connected so msgd him through whtsapp call is not connecting connected tried again his call is not getting connected,"[call, call, call]"
tried again number still shows off tried again number still shows off ,"[number, number]"
he is not responding to calls and msgs he said he will discuss this on saturady called him he said he will call me back in sometime he is not responding to calls and msgs,"[calls, msgs, calls, msgs]"
lead assigned to amit by anshul ,[lead]
lead assigned to raj hegde by anshul ,[lead]
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
she said she will update once she decides she is not responding to calls and msgs,"[calls, msgs]"
he said he he decides he will let me know,[]
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
he said he is not intrested,[]
he speaking in kanada and than spoke in hindi he said he is not intrested,[]
lead assigned to ramakrishna katta by anshul lead assigned to raj hegde by anshul ,"[lead, lead]"
lead assigned to amit by anshul ,[lead]
tried again now he disconnected the call tried again he did not picked up the call he asked me to share details along with the zoom link,"[call, call, details, zoom, link]"
he said he is not intretsed,[]
lead assigned to ramakrishna katta by anshul lead assigned to raj hegde by anshul ,"[lead, lead]"
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
still not responded to msgs,[]
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
he said he is not intrested,[]
lead assigned to raj hegde by anshul ,[lead]
lead assigned to raj hegde by anshul ,[lead]
tried again he still not responding to calls and msgs he said he is not intrested,"[calls, msgs]"
lead assigned to ramakrishna katta by anshul ,[lead]
had a call explained details again she said she will discuss with her husband and let us know she said she is not intrested,"[call, details, husband]"
she said he didint enquired,[]
he said he will get back to me in the next couple of days he said he still not yet decided anything he said he will inform once he decides,"[couple, days, anything]"
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
lead assigned to amit by anshul ,[lead]
tried again still he is not responding to calls so msgd through whtsapp msgd through whatsapp he asked me to share the zoom link he is not responding to calls and msgs tried again he still not responding to calls and msgs,"[calls, zoom, link, calls, calls]"
tried reaching her again but she didnt responded to call lead assigned to preeti srinivasan by anshul lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[call, lead, lead, lead]"
he said he didint enquired,[]
he said he will revert soon once he get free he said he need more time to invest,[time]
had a call he asked me to share details through whtsapp he is not responding to calls and msgs,"[call, details, calls, msgs]"
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
the number currently busy,[number]
lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"[lead, lead]"
lead assigned to raj hegde by anshul ,[lead]
he said he not yet decided anythng he said he is not interested as of now,[]
she said she didint enquired,[]
lead assigned to ramakrishna katta by anshul ,[lead]
lead assigned to raj hegde by anshul ,[lead]
he asked me to share details through whtsapp he said if he is intrested he will let me know,[details]
still not responding to msgs,[]
tried again he still not responding to calls and msgs tried again he still not responding to calls and msgs ,"[calls, calls]"
he said he didint checked the details he said he will check and update he is not responding to calls and msgs had a call explained details again he said he will visit the site and will take decision tried again he still not responding to calls and msgs,"[details, calls, call, details, site, decision, calls]"
not in service,[service]
he said he didint enquired,[]
he said he is not sudheer and he didint enquired any investmnts,[investmnts]
lead assigned to amit by anshul ,[lead]
he said he is in a meeting he said he will call me back he is not responding to calls and msgs tried again he still not responding to calls and msgs tried again he still not responding to calls and msgs,"[meeting, calls, calls, calls]"
